iso3_code,total_estimated_floor_area,total_estimated_heat_demand,total_estimated_emissions
TKL,0.0,0.0,0.0
TKM,524163785.6375263,0.00021199800000000003,8591249.095342556
TLS,104906893.90547515,2.0006e-05,234356.75396162595
TON,632120.4828951613,2.0006e-05,1008.6611018926557
TTO,122693692.85337667,2.0006e-05,308353.01983503945
TUN,997427706.021266,5.2005e-05,4654405.275127293
TUR,7447695405.684273,0.00034527799999999997,89601370.13196316
TUV,0.0,0.0,0.0
TWN,2129674521.196744,4.2634e-05,5110354.739173826
TZA,4956895999.869344,2.0006e-05,8898314.255033934
UGA,3568972368.503066,2.0006e-05,6406799.275859358
UKR,3756614988.3834686,0.000159993,64716732.59734012
UMI,0.0,0.0,0.0
URY,318588621.9978505,7.4633e-05,1057228.717393633
USA,28832923711.93092,0.00164779,535199315.0285866
UZB,2885857037.337711,0.000452836,49356403.0559127
VAT,43773.49122704552,5.2005e-05,245.1179977231012
VCT,9975854.19532257,2.0006e-05,25071.25423503059
VEN,2883554719.135299,2.0006e-05,6441717.018675427
VGB,2475492.9785485533,2.0006e-05,6221.393437298236
VIR,9703151.306475183,2.0006e-05,24385.899044081045
VNM,8595035049.41291,9.4639e-05,19625804.93863767
VUT,26525342.42250624,2.0006e-05,42325.92020025167
WLF,0.0,0.0,0.0
WSM,0.0,0.0,0.0
XKX,0.0,0.0,0.0
YEM,2583138779.1699114,2.0006e-05,5770602.834396404
ZAF,5278377706.751963,9.4639e-05,12489487.237646922
ZMB,1470755001.7237802,2.0006e-05,2640208.751171324
ZWE,1362673166.7194538,2.0006e-05,2446186.9009742304
