,country_name,iso3_code,continent_name,ohfa_factor,country_area,pop_density,emission_factor,climate_zone,m2_area,heating_demand_factor,estimated_floor_area,estimated_emissions
73,Finland,FIN,Northern Europe,0.27,336940111431.491,1.633e-05,373.98,5.0,44449942526.587,0.000159993,65252234.95341697,1054164.810036103
74,Fiji,FJI,Oceania,0.4,18963485421.274,4.827e-05,199.4,1.0,18388013713.098,2.0006e-05,79790304.15079795,127319.6776293073
75,Falkland Islands (Malvinas),FLK,South America,0.56,12397372229.571,2.1e-07,199.4,7.0,6657400133.571,0.000158663,125678.780482348,2226.64407063031
75,Falkland Islands (Malvinas),FLK,South America,0.56,12397372229.571,2.1e-07,199.4,10.0,5737354057.843,0.00024528,108310.09804399178,2966.499417916789
76,France,FRA,Europe,0.54,549516216555.732,0.00012328,199.4,3.0,226559460033.866,5.2005e-05,2510804101.572103,14059725.573637847
76,France,FRA,Europe,0.54,549516216555.732,0.00012328,199.4,4.0,300533379163.102,0.00013328,3330606636.108888,47797726.61194678
76,France,FRA,Europe,0.54,549516216555.732,0.00012328,199.4,2.0,22397038269.349,2.2628e-05,248211112.1793056,604764.520191448
77,Faroe Islands,FRO,Europe,0.54,1439614844.081,3.448e-05,199.4,4.0,1429077987.548,0.00013328,4429566.12902986,63568.9572432554
78,Micronesia (Federated States of),FSM,Oceania,0.4,774856030.611,0.00015064,199.4,,,,,
79,Gabon,GAB,Africa,0.45,264549816182.858,7.72e-06,199.4,1.0,264549816182.858,2.0006e-05,183595810.69884855,329579.8861927177
80,United Kingdom of Great Britain and Northern Ireland,GBR,Europe,0.54,245485877285.998,0.00027995,223.86,3.0,11349727692.307,5.2005e-05,285630063.531587,1795640.0213971045
80,United Kingdom of Great Britain and Northern Ireland,GBR,Europe,0.54,245485877285.998,0.00027995,223.86,4.0,234081269524.575,0.00013328,5890947315.9587755,94911837.63581315
81,Georgia,GEO,Asia,0.56,69844605183.062,5.351e-05,199.4,3.0,1031805554.831,5.2005e-05,4963303.303100546,28822.330713446
81,Georgia,GEO,Asia,0.56,69844605183.062,5.351e-05,199.4,4.0,2932365234.644,0.00013328,14105582.187323673,209927.42600980864
81,Georgia,GEO,Asia,0.56,69844605183.062,5.351e-05,199.4,5.0,65880434399.47,0.000159993,316905230.96490335,5661657.205334422
82,Guernsey,GGY,Europe,0.54,88451288.171,0.00099457,199.4,3.0,88451288.171,5.2005e-05,7908197.74053077,44283.458810787895
83,Ghana,GHA,Africa,0.45,238324256996.659,0.00012695,199.4,1.0,238324256996.659,2.0006e-05,2719812439.223162,4882439.696050917
